"","long","lat","rich"
"262",-52.1248171055984,-19.7988930078369,122
"263",-50.6148706924206,-19.7988930078369,134
"264",-49.1049242792428,-19.7988930078369,134
"265",-47.5949778660649,-19.7988930078369,143
"266",-46.0850314528871,-19.7988930078369,150
"267",-44.5750850397093,-19.7988930078369,163
"268",-43.0651386265315,-19.7988930078369,169
"269",-41.5551922133536,-19.7988930078369,162
"270",-40.0452458001758,-19.7988930078369,193
"271",-69.4892008571434,-18.4912410556717,43
"272",-67.9792544439655,-18.4912410556717,42
"273",-66.4693080307877,-18.4912410556717,66
"274",-64.9593616176099,-18.4912410556717,133
"275",-63.4494152044321,-18.4912410556717,138
"276",-61.9394687912542,-18.4912410556717,123
"277",-60.4295223780764,-18.4912410556717,116
"278",-58.9195759648986,-18.4912410556717,126
"279",-57.4096295517208,-18.4912410556717,135
"280",-55.899683138543,-18.4912410556717,133
"281",-54.3897367253651,-18.4912410556717,129
"282",-52.8797903121873,-18.4912410556717,128
"283",-51.3698438990095,-18.4912410556717,128
"284",-49.8598974858317,-18.4912410556717,131
"285",-48.3499510726538,-18.4912410556717,135
"286",-46.840004659476,-18.4912410556717,143
"287",-45.3300582462982,-18.4912410556717,152
"288",-43.8201118331204,-18.4912410556717,165
"289",-42.3101654199426,-18.4912410556717,160
"290",-40.8002190067647,-18.4912410556717,155
"291",-71.7541204769101,-17.1835891035065,59
"292",-70.2441740637323,-17.1835891035065,45
"293",-68.7342276505545,-17.1835891035065,72
"294",-67.2242812373766,-17.1835891035065,122
"295",-65.7143348241988,-17.1835891035065,194
"296",-64.204388411021,-17.1835891035065,187
"297",-62.6944419978432,-17.1835891035065,150
"298",-61.1844955846653,-17.1835891035065,139
"299",-59.6745491714875,-17.1835891035065,139
"300",-58.1646027583097,-17.1835891035065,137
"301",-56.6546563451319,-17.1835891035065,132
"302",-55.144709931954,-17.1835891035065,129
"303",-53.6347635187762,-17.1835891035065,134
"304",-52.1248171055984,-17.1835891035065,138
"305",-50.6148706924206,-17.1835891035065,133
"306",-49.1049242792428,-17.1835891035065,130
"307",-47.5949778660649,-17.1835891035065,138
"308",-46.0850314528871,-17.1835891035065,136
"309",-44.5750850397093,-17.1835891035065,147
"310",-43.0651386265315,-17.1835891035065,156
"311",-41.5551922133536,-17.1835891035065,152
"312",-40.0452458001758,-17.1835891035065,148
"313",-74.0190400966768,-15.8759371513413,64
"314",-72.509093683499,-15.8759371513413,50
"315",-70.9991472703212,-15.8759371513413,73
"316",-69.4892008571434,-15.8759371513413,110
"317",-67.9792544439655,-15.8759371513413,183
"318",-66.4693080307877,-15.8759371513413,179
"319",-64.9593616176099,-15.8759371513413,167
"320",-63.4494152044321,-15.8759371513413,164
"321",-61.9394687912542,-15.8759371513413,156
"322",-60.4295223780764,-15.8759371513413,162
"323",-58.9195759648986,-15.8759371513413,141
"324",-57.4096295517208,-15.8759371513413,141
"325",-55.899683138543,-15.8759371513413,134
"326",-54.3897367253651,-15.8759371513413,132
"327",-52.8797903121873,-15.8759371513413,138
"328",-51.3698438990095,-15.8759371513413,139
"329",-49.8598974858317,-15.8759371513413,135
"330",-48.3499510726538,-15.8759371513413,143
"331",-46.840004659476,-15.8759371513413,139
"332",-45.3300582462982,-15.8759371513413,138
"333",-43.8201118331204,-15.8759371513413,136
"334",-42.3101654199426,-15.8759371513413,142
"335",-40.8002190067647,-15.8759371513413,149
"336",-39.2902725935869,-15.8759371513413,175
"337",-74.7740133032657,-14.5682851991761,40
"338",-73.2640668900879,-14.5682851991761,47
"339",-71.7541204769101,-14.5682851991761,83
"340",-70.2441740637323,-14.5682851991761,111
"341",-68.7342276505545,-14.5682851991761,201
"342",-67.2242812373766,-14.5682851991761,189
"343",-65.7143348241988,-14.5682851991761,172
"344",-64.204388411021,-14.5682851991761,172
"345",-62.6944419978432,-14.5682851991761,163
"346",-61.1844955846653,-14.5682851991761,160
"347",-59.6745491714875,-14.5682851991761,151
"348",-58.1646027583097,-14.5682851991761,146
"349",-56.6546563451319,-14.5682851991761,142
"350",-55.144709931954,-14.5682851991761,136
"351",-53.6347635187762,-14.5682851991761,130
"352",-52.1248171055984,-14.5682851991761,130
"353",-50.6148706924206,-14.5682851991761,136
"354",-49.1049242792428,-14.5682851991761,136
